,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,gold_prompt_chars,gold_prompt_words,gold_prompt_tokens,pred_prompt_chars,pred_prompt_words,pred_prompt_tokens
0,debit_card_specializing,yearmonth,CustomerID,Customer ID,Customer ID,integer,,F,1124.5,503.25,1111,847.25,366.0,884
1,debit_card_specializing,yearmonth,Date,,Date,text,,P,1116.25,501.75,1106,844.25,366.0,882
2,debit_card_specializing,yearmonth,Consumption,,consumption,real,,,1123.25,501.75,1106,847.75,366.0,882
3,debit_card_specializing,transactions_1k,TransactionID,Transaction ID,Transaction ID,integer,,P,1235.0,552.75,1357,955.5,415.5,1130
4,debit_card_specializing,transactions_1k,Date,,Date,date,,,1223.0,551.25,1352,951.0,415.5,1128
5,debit_card_specializing,transactions_1k,Time,,Time,text,,,1223.0,551.25,1352,951.0,415.5,1128
6,debit_card_specializing,transactions_1k,CustomerID,Customer ID,Customer ID,integer,,,1231.25,552.75,1357,954.0,415.5,1130
7,debit_card_specializing,transactions_1k,CardID,Card ID,Card ID,integer,,,1226.25,552.75,1357,952.0,415.5,1130
8,debit_card_specializing,transactions_1k,GasStationID,Gas Station ID,Gas Station ID,integer,,,1234.25,554.25,1362,955.0,415.5,1132
9,debit_card_specializing,transactions_1k,ProductID,Product ID,Product ID,integer,,,1230.0,552.75,1357,953.5,415.5,1130
10,debit_card_specializing,transactions_1k,Amount,,Amount,integer,,,1225.0,551.25,1352,952.0,415.5,1128
11,debit_card_specializing,transactions_1k,Price,,Price,real,"commonsense evidence:

total price = Amount x Price",,1224.0,551.25,1352,951.5,415.5,1128
12,debit_card_specializing,customers,CustomerID,,identification of the customer,integer,,P,1113.75,504.0,1080,833.75,366.0,852
13,debit_card_specializing,customers,Segment,client segment,client segment,text,,,1110.25,503.25,1076,832.25,366.0,850
14,debit_card_specializing,customers,Currency,,Currency,text,,,1106.75,501.75,1074,832.75,366.0,850
15,debit_card_specializing,gasstations,GasStationID,Gas Station ID,Gas Station ID,integer,,P,1138.5,516.0,1110,859.25,377.25,880
16,debit_card_specializing,gasstations,ChainID,Chain ID,Chain ID,integer,,,1131.75,514.5,1105,856.75,377.25,878
17,debit_card_specializing,gasstations,Country,,,text,,,1129.25,513.0,1100,856.75,377.25,876
18,debit_card_specializing,gasstations,Segment,chain segment,chain segment,text,,,1134.25,514.5,1102,856.75,377.25,876
19,debit_card_specializing,products,ProductID,Product ID,Product ID,integer,,P,1108.0,497.25,1062,831.5,360.0,835
20,debit_card_specializing,products,Description,,Description,text,,,1108.0,495.75,1057,832.5,360.0,833
