,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,gold_prompt_chars,gold_prompt_words,gold_prompt_tokens,pred_prompt_chars,pred_prompt_words,pred_prompt_tokens
0,debit_card_specializing,yearmonth,CustomerID,Customer ID,Customer ID,integer,,F,1631.75,756.75,2162,1354.5,619.5,1935
1,debit_card_specializing,yearmonth,Date,,Date,text,,P,1621.5,755.25,2159,1349.5,619.5,1935
2,debit_card_specializing,yearmonth,Consumption,,consumption,real,,,1659.25,755.25,2213,1383.75,619.5,1989
3,debit_card_specializing,transactions_1k,TransactionID,Transaction ID,Transaction ID,integer,,P,2713.75,1305.75,4864,2434.25,1168.5,4637
4,debit_card_specializing,transactions_1k,Date,,Date,date,,,2494.75,1196.25,4360,2222.75,1060.5,4136
5,debit_card_specializing,transactions_1k,Time,,Time,text,,,2712.0,1304.25,4869,2440.0,1168.5,4645
6,debit_card_specializing,transactions_1k,CustomerID,Customer ID,Customer ID,integer,,,2719.5,1305.75,4874,2442.25,1168.5,4647
7,debit_card_specializing,transactions_1k,CardID,Card ID,Card ID,integer,,,2710.5,1305.75,4879,2436.25,1168.5,4652
8,debit_card_specializing,transactions_1k,GasStationID,Gas Station ID,Gas Station ID,integer,,,2717.75,1307.25,4864,2438.5,1168.5,4634
9,debit_card_specializing,transactions_1k,ProductID,Product ID,Product ID,integer,,,2715.25,1305.75,4872,2438.75,1168.5,4645
10,debit_card_specializing,transactions_1k,Amount,,Amount,integer,,,2705.5,1304.25,4866,2432.5,1168.5,4642
11,debit_card_specializing,transactions_1k,Price,,Price,real,"commonsense evidence:

total price = Amount x Price",,2705.5,1304.25,4872,2433.0,1168.5,4648
12,debit_card_specializing,customers,CustomerID,,identification of the customer,integer,,P,1475.5,757.5,1822,1195.5,619.5,1594
13,debit_card_specializing,customers,Segment,client segment,client segment,text,,,1421.75,718.5,1710,1143.75,581.25,1484
14,debit_card_specializing,customers,Currency,,Currency,text,,,1415.75,714.75,1704,1141.75,579.0,1480
15,debit_card_specializing,gasstations,GasStationID,Gas Station ID,Gas Station ID,integer,,P,1680.5,875.25,2040,1401.25,736.5,1810
16,debit_card_specializing,gasstations,ChainID,Chain ID,Chain ID,integer,,,1683.5,876.75,2045,1408.5,739.5,1818
17,debit_card_specializing,gasstations,Country,,,text,,,1591.0,816.75,1886,1318.5,681.0,1662
18,debit_card_specializing,gasstations,Segment,chain segment,chain segment,text,,,1609.0,827.25,1912,1331.5,690.0,1686
19,debit_card_specializing,products,ProductID,Product ID,Product ID,integer,,P,1569.25,712.5,1810,1292.75,575.25,1583
20,debit_card_specializing,products,Description,,Description,text,,,1647.25,744.0,1872,1371.75,608.25,1648
